,0
Cumulative Return,
Total Return,5.7076
Annualized Return,0.1504
Average Annual Return,0.1546
Annualized Volatility,0.1670
Average Monthly Volatility,0.0482
Sharpe Ratio,0.9257
Max Drawdown,-0.8244
Calmar Ratio,0.1824
Time Under Water,7.6667
Maximum One-Month Loss,-0.1185
PSR,0.9997
Information Ratio,0.2805
Alpha Annualized,0.0668
Annualized Tracking Error,0.0196
Per trade Tracking Error,0.3926
