,0
Cumulative Return,
Total Return,9.8321
Annualized Return,0.1917
Average Annual Return,0.1898
Annualized Volatility,0.1628
Average Monthly Volatility,0.0470
Sharpe Ratio,1.1658
Max Drawdown,-0.5348
Calmar Ratio,0.3585
Time Under Water,6.1667
Maximum One-Month Loss,-0.1492
PSR,1.0000
Information Ratio,1.4431
Alpha Annualized,0.0658
Annualized Tracking Error,0.0154
Per trade Tracking Error,0.0920
