,0
Cumulative Return,
Total Return,5.7136
Annualized Return,0.1505
Average Annual Return,0.1500
Annualized Volatility,0.1345
Average Monthly Volatility,0.0388
Sharpe Ratio,1.1148
Max Drawdown,-0.4938
Calmar Ratio,0.3048
Time Under Water,6.2500
Maximum One-Month Loss,-0.1407
PSR,1.0000
Information Ratio,0.4582
Alpha Annualized,0.0554
Annualized Tracking Error,-0.0129
Per trade Tracking Error,0.0000
