,0
Cumulative Return,
Total Return,8.4939
Annualized Return,0.1802
Average Annual Return,0.1783
Annualized Volatility,0.1525
Average Monthly Volatility,0.0440
Sharpe Ratio,1.1690
Max Drawdown,-0.5065
Calmar Ratio,0.3558
Time Under Water,6.5833
Maximum One-Month Loss,-0.1188
PSR,1.0000
Information Ratio,1.2268
Alpha Annualized,0.0630
Annualized Tracking Error,0.0051
Per trade Tracking Error,0.0798
