,0
Cumulative Return,
Total Return,3.4987
Annualized Return,0.1171
Average Annual Return,0.1287
Annualized Volatility,0.1817
Average Monthly Volatility,0.0525
Sharpe Ratio,0.7084
Max Drawdown,-0.5690
Calmar Ratio,0.2058
Time Under Water,9.9167
Maximum One-Month Loss,-0.3235
PSR,0.9955
Information Ratio,0.0864
Alpha Annualized,0.0240
Annualized Tracking Error,0.0343
Per trade Tracking Error,0.4294
