,0
Cumulative Return,
Total Return,4.0849
Annualized Return,0.1272
Average Annual Return,0.1345
Annualized Volatility,0.1679
Average Monthly Volatility,0.0485
Sharpe Ratio,0.8008
Max Drawdown,-0.9952
Calmar Ratio,0.1278
Time Under Water,9.8333
Maximum One-Month Loss,-0.2069
PSR,0.9984
Information Ratio,0.1597
Alpha Annualized,0.0288
Annualized Tracking Error,0.0205
Per trade Tracking Error,0.2761
