,0
Cumulative Return,
Total Return,6.2139
Annualized Return,0.1566
Average Annual Return,0.1635
Annualized Volatility,0.1840
Average Monthly Volatility,0.0531
Sharpe Ratio,0.8886
Max Drawdown,-0.7073
Calmar Ratio,0.2214
Time Under Water,8.3333
Maximum One-Month Loss,-0.2376
PSR,0.9995
Information Ratio,0.4998
Alpha Annualized,0.0355
Annualized Tracking Error,0.0365
Per trade Tracking Error,0.4294
