,0
Cumulative Return,
Total Return,5.5141
Annualized Return,0.1479
Average Annual Return,0.1481
Annualized Volatility,0.1373
Average Monthly Volatility,0.0396
Sharpe Ratio,1.0789
Max Drawdown,-0.4415
Calmar Ratio,0.3350
Time Under Water,6.6667
Maximum One-Month Loss,-0.1412
PSR,1.0000
Information Ratio,0.3980
Alpha Annualized,0.0539
Annualized Tracking Error,-0.0101
Per trade Tracking Error,0.0675
